PMID,Disease
36780734,febrile neutropenia
36780734,gastrointestinal cancer
36780734,lymphoma
36780734,neutropenia
36780734,lymphoid hemopathy
36780624,in breast cancer
36780614,malignant breast lesions
36780614,hyperplasia
36780614,lobular carcinoma
36780531,brain metastases
36780531,brain neoplasm
36780531,melanoma bmics
36780531,melanoma premetastatic bmics
36780467,congress and breast cancer congress
36780460,antonio breast cancer symposium
36780426,low toxicity
36780270,mitochondria-targeted piezodynamic cancer
36780234,cancerous
36780214,developmental disabilities
36780214,idd
36780214,idds
36780065,breast tumours
36780065,cardiotoxicities
36780065,hd
36779982,invasive malignancy
36779982,leukemia/lymphoma
36779961,neck cancer
36779863,hypertension
36779863,pulmonary diseases
36779309,breast cancer os
36779121,breast reduction or mastopexy
36779121,bilateral breast reduction or mastopexy
36779121,invasive tumours
36779118,malignant gastrointestinal stromal tumor
36779118,primary breast cancer
36779118,gastrointestinal stromal tumors
36779118,mesenchymal tumors
36779118,epithelial tumors
36779118,gastrointestinal stromal tumor
36779118,primary cancers
36779118,axillary lymphadenopathy
36779118,axillary metastases
36779038,dm
36778984,spinal tumors
36778795,postoperative pain
36778795,nausea
36778795,vomiting
36778795,nausea vomiting
36778735,cognitive decline in breast cancer
36778735,cognition impairment
36778735,cognition impairment of the breast cancer
36778653,pseudoangiomatous stromal hyperplasia
36778653,oval hypoechoic mass
36778653,fibroadenoma
36778653,angiosarcoma
36778652,invasive ductal cancers
36778385,joint pain
36778343,breast tumors
36778343,tumor-macrophage
36778271,hypoxia
36778256,breast cancer metastases
36778247,dependencies of cancer
36778229,pruritic
36778229,inflammatory skin disease
36778229,pn skin
36778229,pn lesional skin
36778229,pn lesional fbs
36778229,renal sclerosis
36778229,idiopathic pulmonary fibrosis
36778229,atopic dermatitis
36778229,ad
36778229,psoriasis
36777514,epithelial tumor
36777514,immunodeficient
36777506,breast lymphoma
36777506,primary breast lymphoma
36777506,b-cell lymphoma
36777506,extranodal lymphoma
36777502,ovcar-3 ovarian cancer
36777384,ii breast cancer
36777384,dermatitis
36777384,contracture
36777230,fatigue
36777230,breast and lung cancer
36777188,negative-breast cancer
36776843,sphingolipid metabolism
36776716,hereditary diffuse gastric cancer
36776716,gastric cancer
36776716,lobular type breast cancer
36776716,epithelial neoplasms
36776716,hereditary gastric cancer
36776716,colorectal polyp
36776716,adenoma
36776716,sessile serrated lesion
36776716,polyps
36776716,colorectal polyps
36776368,aggressiveness of tnbc
36776335,cardiorespiratory fitness
36776335,deficits
36776297,epithelial ovarian cancer
36776297,late-stage disease
36776291,cancer influence breast and colorectal cancer
36775838,pancreatic cancer
36775838,hepatotoxicity
36775838,colon cancer
36761830,cervical cancers
36761830,oral squamous cell carcinoma
36761830,oral cancers
36775656,deaths
36775648,weight loss
36775449,colonic
36775354,neck squamous cell carcinoma
36775354,bladder cancer
36775354,pd-1/pd-l1 blockade
36775354,neck squamous and bladder cancers
36775354,bladder cancers
36775354,non-small cell lung cancer
36775354,nsclc
36775350,low breast cancer
36775221,eps
36775221,hemolysis
36775221,cancerous cell death
36775066,metastasis of breast cancer
36774875,hdf
36774758,breast and lung cancers
36774756,ebc
36774386,aneuploidy
36774357,malignant breast tumors
36774339,breast cancer malignancy
36773804,metabolites of prostate cancer
36773796,neurodegenerative diseases
36773796,lysosomal storage disorders
36773567,bladder urothelial carcinoma
36773567,breast invasive carcinoma
36773567,lung squamous cell carcinoma
36773567,colon adenocarcinoma
36773567,prostate adenocarcinoma
36773567,skin cutaneous melanoma
36773567,pancreatic adenocarcinoma
36773567,rectum adenocarcinoma
36773567,stomach adenocarcinoma
36773567,lihc
36773531,invasive ductal carcinomas
36773531,luminal type cancers
36773531,high apt sis
36773404,li-fraumeni syndrome
36773404,li fraumeni syndrome
36773404,lfs
36773404,hereditary cancer
36773184,cancer mortality
36773123,attachment anxiety
36773021,cognitive impairment
36773021,cognitive decline
36772982,catalonia
36772982,cataract
36772966,triple-negative breast cancer
36772966,erbeta+tnbc
36772945,cancer tumor
36772945,cafs across cancers
36772932,breast and endometrial cancer
36772881,qt prolongation
36772881,qtcspl
36772881,qtcf
36772881,qtcspl to address hr
36772804,colon
36772804,glioblastoma
36772592,tcia breast cancer
36772536,metastasized alns
36772091,breast cancer hyperthermia
36771391,hepatocellular carcinoma
36771385,adenocarcinoma-dominant cancers
36771385,leukemia
36771385,breast and prostate cancer
36771385,bowel cancer
36771385,gastrointestinal adenocarcinomas
36771239,headaches
36771126,novel prostate cancer
36771126,cardiovascular disorders
36771126,hypercholesterolemic
36771126,breast and prostate cancers
36771126,ccd
36771106,hepatic tumour
36771032,se
36771032,obesity-related diseases
36771032,hepatoma
36771032,leukemia cancers
36770951,es-2 ovarian and a-549 lung adenocarcinomas
36770864,casearia coriacea vent
36770864,leishmania mexicana mexicana and trypanosoma brucei brucei
36770864,malaria parasite
36770864,pulmonary adenocarcinoma
36770864,pancreatic carcinoma
36770830,hyperthermophile archaeoglobus fulgidus ferritin
36770781,stemness of breast cancer
36770518,cytotoxicity of carbon nanotubes
36770518,cardiovascular diseases
36770518,mcf-7 breast cancer
36770357,various diseases
36769814,paralysis
36769814,metastatic epidural spinal cord compression
36769814,fracture
36769814,fractures
36769814,spinal metastases
36769814,spinal injury
36769814,sensorimotor impairments
36769814,spinal instability neoplastic
36769814,neurologic impairments
36769602,tnbc fits
36769509,rotation compensation
36769280,luminal breast cancer mcf-7
36769280,breast cancer cell malignancy
36769274,colorectal and liver neoplasms
36769274,colorectal and liver cancers
36769251,metastasis in breast cancer
36769251,liver metastasis
36769251,lung metastases
36769251,liver metastases
36769210,aids
36769210,infection
36769210,breast to leukemia
36769184,ductal breast cancer
36769184,mastopathy
36769184,stroma of breast cancer
36769177,cancer diseases
36769177,carcinogenesis of human breast cancer
36769125,aggressiveness of breast cancer
36769125,aggressiveness of cslc
36769029,metabolic diseases
36769029,type 2 diabetes
36769029,breast and colon cancer
36769029,inflammatory diseases
36768939,neoplasm
36768939,malignancy of tumors
36768939,malignant cmts
36768923,actual tumor
36768923,glioblastoma multiforme
36768838,luminal versus basal breast cancer
36768838,basal breast cancers
36768815,increase tumor aggressiveness
36768694,apoptosis of ovarian
36768694,colorectal and ovarian cancer
36768694,aml
36768694,cholangiocarcinoma
36768694,pancreatic ductal adenocarcinoma
36768694,brain tumour cancer
36768647,rupture
36768623,endometrial cancer
36768623,vaginal small cell carcinoma
36768568,human ovarian carcinoma
36768568,lung carcinoma
36768478,solid tumors
36768427,sphingolipid metabolism in breast cancer
36768427,sphingolipid metabolites
36768363,deltapsim
36768191,breast carcinomas
36767461,analgesia nociception
36767073,dry mouth
36767056,traumatic stress
36766992,breast cancer tumor
36766992,progressive disease
36766896,polycystic ovary syndrome
36766896,pcos
36766896,diabetics
36766893,papillomavirus (hpv) infection
36766786,aggressive breast cancer
36766734,epidermoid carcinoma
36766734,necrotic cell death
36766681,skin cancer
36766645,benign breast lesions
36766641,enthusiasm
36766641,tedious breast cancer
36766575,tumor aggressiveness
36766541,classifying breast cancer metastasis
36766517,cad
36766517,brightness error
36766486,tnbc lesions
36766484,pelvic lesions
36766484,ovarian tumours
36766484,carcinomatosis
36766484,breast carcinoma metastasis
36766484,ovarian/peritoneal carcinoma
36766484,metastasis of lymphoma
36766484,endometrial carcinoma
36766484,malignant lesions
36766484,peritoneal carcinomatosis or ovarian carcinoma
36766472,bone lesions
36766472,breast tumor lesions
36766453,learning algorithms
36765925,tumor necrosis
36765923,pancreatobiliary cancers
36765923,pancreaticobiliary cancers
36765921,malignancy of breast lesions
36765876,infections
36765870,tumour growth models of breast cancer
36765870,invasive cancers
36765853,hr+ breast cancer
36765851,aggressive breast cancers
36765839,histopathological breast cancer
36765831,cognitive symptoms
36765776,primary high-grade advanced ovarian cancer
36765776,tumor hrd
36765776,insufficient tumor
36765720,her2-positive breast cancer
36765717,pancreatic and breast cancer
36765715,tics
36765715,ovarian cancers
36765709,cancer toxicities
36765699,non-breast cancer
36765667,iv epithelial ovarian cancer
36765667,iva
36765667,pleural effusion
36765667,pleural involvement
36765666,ovarian and breast cancer
36765651,metastatic breast cancer
36765651,bone disease
36765650,breast disorders
36765648,myelotoxic
36765642,breast cancer disease
36765642,svd
36765631,lymphedema in breast cancer
36765631,breast cancer-related lymphedema
36765631,inflammatory disorder
36765602,chronic lymphocytic leukemia
36765602,t cell lymphomas
36765602,head and neck cancers
36765602,lymphocytic leukemia
36765598,dementia
36765598,dementia increases
36765598,head and neck cancer
36765598,brain tumor
36765592,breast cancer lymph node metastasis
36765571,radiation dermatitis
36765538,sarcoma
36765538,sarcomas
36765538,breast and gastrointestinal cancers
36765538,renal disease
36765538,bone sarcomas
36765535,tumor initiation
36765529,osteotropic
36765529,bone metastases
36765527,disseminated tumor
36765432,hereditary cancers
36765432,"endometrial, ovarian, colorectal"
36765432,fhht
36765430,adenocarcinoma
36765430,carcinoma ts
36765430,beta-galactosidase
36765409,skin malignancy
36765409,angiomirs
36765408,ovary
36765408,leukaemia
36765408,bladder
36765397,hr+her2-breast cancer
36765275,endocrine resistant breast cancer
36765265,swelling
36765154,adverse cardiovascular and cerebrovascular events
36765154,adverse cardiovascular and cerebrovascular
36765154,acute myocardial infarction
36765154,ischemic stroke
36765154,stroke
36764880,iv disease
36764879,invasive breast cancers
36764873,bc tumors
36764734,dystrophic calcification
36764493,liver cscs
36764447,hypopituitarism
36764447,visual field deficits
36764231,cell growth arrest
36764231,sar
36764019,lymphedema
36764019,upper extremity dysfunction
36763623,breast malignancy
36763552,vestibular schwannomas
36763359,dyspareunia
36763188,myelosuppression
36763188,gs
36763051,artery occlusion
36763051,hypoxic
36763051,retinal vein occlusion
36763051,retinal artery occlusion
36763051,diabetic retinopathy
36763051,stroke-type condition
36763051,blindness
36763051,retinal ischemia
36763051,rabbit eyes
36763051,ischemic
36763035,fitness
36762843,lobular breast cancer
36762832,chemotoxicity
36762832,group-breast cancer
36762811,meningioma
36762811,host tumor
36762811,peritumoral brain edema
36762811,metastasis of invasive ductal carcinoma
36762811,intra-meningioma metastasis
36762803,infertile central nervous
36762783,inflammatory breast cancer
36762782,hrqol
36762781,pdx tumors
36762663,seroma
36762416,hepatoxicity
36762368,endometriosis pathology and pain
36762368,endometriosis
36762368,infertility
36762368,endometriosis lesions
36762368,lower ovarian
36762368,premature ovarian insufficiency
36762368,pelvic pain
36762368,whereby endometriosis
36762329,hrplus
36762329,herplus
36761973,2019 global burden of disease
36761973,apc
36761969,rural cancer
36761968,brain metastasis
36761757,hematological malignancies
36761757,hostile tumor
36761757,cars
36761757,tumor toxicities
36761753,hallmark of tumors
36761429,endometrial clear cell carcinoma
36761429,endometrial serous carcinoma
36761373,solid-papillary carcinoma
36761373,papillary breast carcinomas
36761373,invasive solid-papillary carcinoma
36761373,multifocal ductal carcinoma
36760835,disease-like breast cancer
36760569,cardiovascular (cv) death
36760569,traumatic psychological stress
36760569,cv death
36760569,outweighs cancer death
36760569,cv deaths
36760343,glioma in colombia
36760343,hypofractionation of prostate
36760254,chemoresistant tumors
36760158,hematological toxicity
36760158,vitiligo
36760158,upper back
36760012,multidisciplinary breast cancer
36759982,alpelisib
36759846,benign breast diseases
36759846,breast benign disease
36759786,malignancy in breast cancer
36759786,necrosis
36759733,colorectal tumors
36759723,tumour initiation
36759673,common t-vec toxicities
36759673,fevers
36759673,headache
36759673,thromboembolic
36759573,neuroblastoma and breast cancer
36759253,wa cancer
36759216,died
36759122,dyspnea
36759122,atrial fibrillation
36759122,coronary artery disease
36759122,hemoptysis
36759039,adenoid cystic carcinoma
36759039,lobular breast carcinomas
36758843,malignant tumors
36758833,cytotoxicity of car-t
36758833,tumor malignancies
36758833,liver cancers
36758833,prostate cancer tumor
36758833,prostate tumor
36758833,tumor spheroid cytotoxicity
36758499,hrd positive cancers
36758499,ovairan cancer hrd
36758499,brca-deficient breast cancer
36758448,lymphangiosis carcinomatosa
36758448,heart disease
36758326,learning for breast cancer classification
36758326,cancer malignancy
36758146,mg glioblastoma
36758048,sporadic breast cancer
36758048,obese
36757913,drug-resistant triple negative breast cancer
36757913,cmc
36757913,ha-ss-cmc
36757913,emulsification
36757913,drug aggregation
36757900,salpingo-oophorectomy reduces breast and ovarian cancer
36757899,49 citrullinated proteins
36757813,epithelial cancers
36757707,leptomeningeal disease
36757500,infectious diseases
36757500,colorectal carcinoma
36757500,tumor boards
36757500,autoimmunity
36757498,sexual dysfunction and sexual distress
36757498,sexual dysfunction
36757498,sexual distress
36757498,sexual distress in bcss
36757143,hypoxia-promoting mesenchymal tnbc
36757139,hr-negative breast cancer
36757139,invasive tumors
36757135,brca tumor
36757106,ndds
36757050,esophageal squamous cell carcinoma
36757050,tumor stemness
36756934,osteogenesis
36756934,bone defects
36756934,trauma or tumor
36756934,osteogenesis of infected bone defects
36756934,osteogenic
36756934,craniofacial bone defects
36756852,slovenia
36756852,malignant neoplasm
36756852,bc deaths
36756852,premature death
36756721,iridoid glucosides
36756380,endometrial carcinoma across europe
36756380,johnson
36756142,abemaciclib plus endocrine
36756142,idfs
36756000,leptomeningeal carcinomatosis
36756000,pia and arachnoid matter
36756000,urinary incontinence
36755926,metabolic abnormality
36755926,obesity-related endocrine cancers
36755860,benign breast tumours
36755860,breast cancer tumour
36755606,tumour glycolysis and tumour
36755606,til deficiency
36755606,tumour stroma
36755503,peripheral neuropathy
36755503,neuropathy
36755503,motor neuropathy
36755294,lynch syndrome
36755294,oligometastatic disease
36755294,systemic disease
36755288,mitochondrial dysfunction
36755280,grss
36755259,stroma
36755067,cell death
36755067,proteotoxic stress
36754982,mesothelioma
36754982,melanoma and renal cell carcinoma
36754982,hematopoietic malignancies
36754982,colon tumor
36754936,residual disease
36754246,cancer pain
36754246,hypersensitivity
36754246,perineural breast cancer
36754246,mechanical hypersensitivity
36754037,gastrointestinal carcinomas
36753992,melanoma of skin and cancers
36753991,endocrine symptoms
36753973,arsenic poisoning
36753965,hepatic malignancies
36753957,mipd
36753759,icd
36753759,tumor cell necrosis
36753690,breast and hematological cancers
36753620,tumor hypoxia
36753274,financial toxicity
36753200,colombia 2014
36753199,lower limb fatigue
36753162,type ii damage
36753162,cardiac insufficiency
36753162,heart failure
36753153,dyadic perception
36753153,breast tumors of the national cancer
36753003,respiratory depression
36753003,neuropathic pain
36752886,hypnotic
36752886,mood disorders
36752886,neurodegenerative disorders
36752860,neoplasia
36752860,hyperplasia/lobular carcinoma
36752860,flat epithelial atypia
36752780,dysfunctional
36752780,malignant tumours
36752516,venous thromboembolism
36752516,flap loss
36752508,colorectal and lung cancers
36752508,colorectal and lung cancer
36752370,ductal carcinoma in situ to invasive cancer
36752370,dcis lesions
36752370,invasive disease
36752251,posttraumatic stress
36752251,posttraumatic stress disorder
36752251,ptsd
36752251,trauma
36752251,osijek
36752251,ptsd symptoms
36751827,oral cancer
36751724,chemo-hyperthermia of cancer
36751724,pps-mnps
36751336,chronic pain
36751235,stress in breast cancer
36751235,iii breast cancer
36750321,fa deficiency
36750321,dysregulation of fa metabolism
26389234,male breast cancer
36749874,non-luminal breast cancer
36749630,trim21 deficiency
36749630,colorectal and breast cancers
36749493,occult tumor
36749493,paget's disease
36749415,colorectal and prostate tumors
36749410,periodontitis and breast cancer
36749410,periodontitis
36749410,periodontitis on breast cancer
36749328,loss of ovarian
36749328,vasomotor symptoms
36749312,multidisciplinary cancer
36749312,"melanoma, breast cancer"
36749285,familial breast cancers
36749057,pink oyster mushroom pleurotus djamor
36748905,covid
36748905,non-cancer
36748905,sars-cov-2 infection
36748905,covid19-related
36748905,myalgias
36748905,gastrointestinal symptoms
36748905,cough
36748905,lymphocytopenia
36748905,myalgia
36748820,acute myeloid leukemia
36748676,papillary carcinoma
36748676,solid papillary carcinoma
36748676,neuroendocrine tumor
36748676,invasive carcinoma
36748659,ovarian and testicular cancer
36748659,brain tumors
36748334,inherited cancer syndromes
36748334,breast/ovarian cancer
36748210,fits
36748142,breast micropapillary ductal carcinoma
36748136,breast fibroepithelial tumors
36748136,fibroepithelial tumors
36747860,tmas
36747801,static carcinoma
36747801,cryptic lamellipodiamyosin vi
36747772,tumor metastases
36747772,stemness
36747762,silenced tumor
36747279,pgs
36747232,nephrology
36747213,appetite loss
36747141,covid-19 pneumonia
36746967,biliary tract cancers
36746967,solid tumours
36746967,diarrhoea
36746899,loss of consciousness
36746877,dysbiosis
36746877,osteoporosis
36746877,endometrial hyperplasia
36746877,cardiometabolic diseases
36746877,type 1 endometrial hyperplasia
36746877,gingival inflammation
36746877,menopausal periodontitis
36746877,blood glucose
36746720,invasive bc
36746720,peritumoural-tumour
36746578,photo-chemotoxicity
36746533,genotoxic stress
36746533,gouty arthritis
36746533,alzheimer disease
36746533,lung cancers
36746463,pancreatic lesions
36746463,hereditary breast and ovarian cancer syndrome
36746463,papillary mucinous neoplasms
36746463,pancreatic neoplasm
36746049,type i aie photosensitiser
36745996,basal cell carcinoma
36745996,bcc carcinoma
36745996,skin carcinomas
36745503,rcc
36745503,hematological cancers
36745223,melanoma growth
36745138,hyperuricemia
36745138,gout
36745138,metabolic syndrome
36745138,chronic kidney disease
36745138,rheumatism
36745138,atrophy
36744961,reovirus infection
36744734,breast cancer tumors
36744734,rigidity
36744734,slowing breast cancer
36744691,breast carcinoma mcf7 and hepatocellular carcinoma
36744446,fatigued
36744446,fatigue and depression
36744396,papillary thyroid carcinoma
36744179,hulc
36744161,paired hepatocellular carcinoma
36744056,rash
36744056,eczema
36743520,constipation
36743185,hhus
36743146,radiodermatitis in breast cancer
36743146,radiodermatitis
36742386,endometrial cancers
36742232,"2019, invasive ductal carcinoma"
36742068,hyperlipidemia
36741731,mesenchymal neoplasms
36741731,bone sarcoma
36741731,stromal tumor
36741731,breast sarcoma
36741704,growth arrest
36741704,rb deficient
36741701,palliative craniocerebral
36741517,breast cscs than bulk breast cancer
36741517,breast csc death
36741448,bile
36741380,field of ovarian cancer
36741314,intestinal tumors
36741314,mucinous adenocarcinoma
36741314,ngs
36741314,cup tumors
36741258,solid tumor
36741254,breast-cancer
36741020,aapc
36741020,premature deaths
36741020,gastrointestinal cancers
36741020,colon and rectum cancer
36741011,giant breast leiomyoma
36741011,breast leiomyoma
36741011,benign tumor
36741011,leiomyoma
36741008,toxicity in breast cancer
36741008,skin toxicity
36740817,rhabdomyolysis
36740512,rfs
36740198,hdgc
36740198,dominantly-inherited cancer syndrome
36740198,lbc
36740148,necroptotic death
36740148,breast carcinoma t-47d
36740148,necroptosis in breast carcinoma
36739952,malignant neoplasms
36739952,malignant neoplastic myoepithelial
36739952,tubular adenoma
36739952,adenomyoepithelioma and adenoid cystic carcinoma
36739952,hidradenoma
36739952,spiradenoma
36739952,pleomorphic adenoma
36739952,benign breast neoplasms
36739952,adenomas
36739952,pleomorphic adenomas
36739952,benign salivary gland tumors
36739824,multiple breast cancer
36739824,autosomal dominant inherited cancer
36739824,adrenocortical carcinomas
36739824,leukemias
36739630,musculoskeletal pathologies
36739629,breast cancer-related lymphoedema
36739629,oedema
36739629,lymphoedema
36739605,cold tumors
36739605,acidic tumor
36739605,adverse toxicities
36739475,invasive cribriform carcinoma
36739475,very rare disease
36739475,painful
36739475,icc breast cancer
36739462,carcinoma metastasis
36739462,metastasis tumour
36739462,lymph node tumours
36739414,immunogenic breast tumors
36739399,bone loss
36739399,periodontal disease
36739285,ovarian suppression
36739227,breast cancers versus screen detected breast cancers
36739227,interval breast cancer
36739227,interval cancers
36739077,hypoxic cancer
36739077,diabetic
36739077,cancer stemness
36739077,hypoxic breast cancer
36739077,breast cancer stemness
36738577,aggressive cancers
36738577,loss of anchorage
36738577,metastasis of aggressive cancers
36738520,auc rise
36738497,death of cholangiocarcinoma via akt
36738368,idiosyncratic adverse drug reactions
36738358,multidimensional fatigue
36738118,malignancies of breast
36738118,malignant nme lesions
36737859,chronic diseases
36737820,mucinous cystadenocarcinoma
36737800,scad
36737799,muscle-invasive bladder cancer
36737799,muscle-invasive bladder cancers
36737799,multiple cancers
36737799,bladder tumor
36737799,lv
36737799,luminal tumors
36737789,tumoroids which recapitulate the tumor
36737760,-breast cancer
36737658,drrd
36737644,cls
36737552,advanced epithelial ovarian cancer
36737552,pds
36737530,pwb-chest
36737428,breast cancer liver metastasis
36737303,asthenia
36737303,anorexia-cachexia syndrome
36737248,tma
36737116,mods
36737094,bowel and prostate cancer
36737094,"breast, bowel or prostate cancer"
36736967,low cytotoxicity
36736967,mcf-7 cancer
36736951,lymphatic dysfunction
36736951,autoimmune complications
36736951,unilateral breast cancer-related lymphedema
36736951,lymphedematous
36736908,immunogenic cell death
36736725,breast and colorectal cancer
36736725,coaching sessions
36736632,cardiac events
36736631,invasive breast (bc) cancer
36736548,rcds
36736548,hydrophilic lrcds
36736488,ovarian serous cystadenocarcinoma
36736144,ovarian and breast cancers
36736144,"breast, ovarian, fallopian tube"
36735704,lower breast cancer
36735254,congestive heart failure
36735254,chf
36735117,facial flushing and swelling
36735117,gingival hemorrhage
36735117,telangiectasia
36735117,luminal b breast cancer
36735048,high tils
36735048,her2-enriched breast cancers
36735048,her2-enriched cancers
36735048,luminal cancers
36734949,hepatic cancer
36734949,renal cell cancer
36734949,colon oral
36734949,head cancer
36734872,advanced disease
36734872,renal hypertension
36734848,thoracoabdominal metastases
36734527,diarrhea
36734527,crf
36734379,meningiomas
36734379,tumour-to-meningioma metastasis
36734379,systemic cancers
36734379,parasagittal tumours
36734379,meningioma metastasis
36734379,focal deficits
36734379,seizures
36734379,cranial nerve palsies
36734308,dmfs
36734308,dfs
36734288,multicentric breast cancer
36734288,mc breast cancers
36734288,mf/mc breast cancers
36734288,mc breast tumors
36734184,sk-ov-3 ovarian cancer
36734154,hypothetical breast cancer
36734154,enthusiasm for cancer
36733936,disseminated cancers
36733936,osteoblastic
36733936,sclerotic bone metastases
36733936,osteosarcoma
36733936,multiple myeloma
36733936,cancer metastases
36733863,fare-sf-p
36733797,isthmic papillary thyroid carcinoma
36733797,aggressive thyroid cancer
36733797,isolated papillary thyroid carcinoma
36733797,chronic lymphocytic thyroiditis
36733442,pressures
36733182,meningeal carcinomatosis of gastric cancer
36733182,meningeal carcinomatosis
36733182,gastric cancer metastasis
36733163,invasive ductal carcinoma of the breast
36733163,skin defect
36733162,drug-induced interstitial pneumonia
36733162,shortness of breath
36733162,cardiac dysfunction
