PMID,Publication_Title
36799369,Enhanced characterization of breast cancer phenotypes using Raman micro-spectroscopy on stainless steel substrate.
36799362,Broad reactivity and enhanced potency of recombinant anti-EGFR x anti-CD3 bispecific antibody-armed activated T cells against solid tumours.
36799204,Dairy animals and breast cancer: reflections on a long-term study from the 1970s that was never done.
36799191,"Effect of DPP4/CD26 expression on SARS‑CoV‑2 susceptibility, immune response, adenosine (derivatives m(6)(2)A and CD) regulations on patients with cancer and healthy individuals."
36799186,LAPTM5 regulated by FOXP3 promotes the malignant phenotypes of breast cancer through activating the Wnt/beta‑catenin pathway.
36799150,Lactate secreted via MCT4 from bone‑colonizing breast cancer excites sensory neurons via GPR81.
36799119,THE EFFECT OF ADJUVANT RADIOTHERAPY ON SKIN BIOPHYSICAL PROPERTIES IN PATIENTS WITH BREAST CANCER AT RISK FOR BREAST LYMPHEDEMA: A PROSPECTIVE STUDY.
36799091,Advances in breast cancer presented in San Antonio.
36798947,A dose planning study for cardiac and lung dose sparing techniques in left breast cancer radiotherapy: Can free breathing helical tomotherapy be considered as an alternative for deep inspiration breath hold?
36798827,Editorial: Revisiting seed and soil: A new approach to target hibernating dormant tumor cells.
36798812,The optimal regional irradiation volume for breast cancer patients: A comprehensive systematic review and network meta-analysis of published studies.
36798807,Dual Sensitization Anti-Resistant Nanoparticles for Treating Refractory Breast Cancers via Apoptosis-Inducing.
36798787,Prognostic Significance of the CXCLs and Its Impact on the Immune Microenvironment in Ovarian Cancer.
36798786,Myocardial Infarction-Induced INSL6 Decrease Contributes to Breast Cancer Progression.
36798745,Flexible human serum albumin nanocapsules to enhance drug delivery and cellular uptake for photodynamic/chemo cancer therapy.
36798690,End-of-neoadjuvant treatment circulating microRNAs and HER2-positive breast cancer patient prognosis: An exploratory analysis from NeoALTTO.
36798680,Intermammary breast cancer: A rare case of cancer with origin of breast cells in an unusual location.
36798671,Corrigendum: Systemic treatment of breast cancer. 1st Central-Eastern European professional Consensus Statement on breast cancer.
36798607,National Patterns of Early Adoption of Magnetic Resonance Imaging-Guided Linear Accelerators in 2018 to 2019.
36798606,Estimating Carbon Dioxide Emissions and Direct Power Consumption of Linear Accelerator-Based External Beam Radiation Therapy.
36798532,Smart Chondroitin Sulfate Micelles for Effective Targeted Delivery of Doxorubicin Against Breast Cancer Metastasis.
36798467,Role of miR‑200 family in brain metastases: A systematic review.
36798429,Translation and linguistic validation of the Pittsburgh Fatigability Scale for Korean breast cancer survivors: A cognitive interviewing study.
36798383,Environmentally Induced Sperm RNAs Transmit Cancer Susceptibility to Offspring in a Mouse Model.
36798342,Chemoproteomic Profiling Reveals that Anti-Cancer Natural Product Dankastatin B Covalently Targets Mitochondrial VDAC3.
36798328,Paracrine enhancement of tumor cell proliferation provides indirect stroma-mediated chemoresistance via acceleration of tumor recovery between chemotherapy cycles.
36798316,LINKIN-associated proteins necessary for tissue integrity during collective cell migration.
36798307,Breast adipose tissue-derived extracellular vesicles from women with obesity stimulate mitochondrial-induced dysregulated tumor cell metabolism.
36798292,Evaluating ChatGPT as an Adjunct for Radiologic Decision-Making.
36798154,Diffsig: Associating Risk Factors With Mutational Signatures.
36798137,LRRC3B and its promoter hypomethylation status predicts response to anti-PD-1 based immunotherapy.
36798090,Translating an Economic Analysis into a Tool for Public Health Resource Allocation in Cancer Survivorship.
36798062,Small-cell lung cancer metastasis to a meningioma: Case report and review of the literature.
36797833,Positive Nipple Margins and Oncologic Outcomes of Nipple-Sparing Mastectomy in a Large Community-Based Hospital System.
36797821,Factors associated with anxiety and depression in cancer patients: Demographic factors and the role of demoralization and satisfaction with care.
36797769,Targeting tumor exosomal circular RNA cSERPINE2 suppresses breast cancer progression by modulating MALT1-NF-𝜅B-IL-6 axis of tumor-associated macrophages.
36797737,Participation in screening for breast and cervical cancer among women with current or previous drug use: a survey study.
36797736,Recent advances of small extracellular vesicle biomarkers in breast cancer diagnosis and prognosis.
36797689,"Expression of substance P, neurokinin 1 receptor, Ki-67 and pyruvate kinase M2 in hormone receptor negative breast cancer and evaluation of impact on overall survival."
36797664,Cost-effectiveness of ribociclib versus palbociclib in combination with an aromatase inhibitor as first-line treatment of postmenopausal women with HR+/HER2- advanced breast cancer: analysis based on final OS results of MONALEESA-2 and PALOMA-2.
36797654,Using Machine Learning Methods to Assess Lymphovascular Invasion and Survival in Breast Cancer: Performance of Combining Preoperative Clinical and MRI Characteristics.
36797619,Peritumoural Oedema as a Predictor of Overall Survival for Patients with Posterior Fossa Metastases.
36797615,Effect of hybrid compounds of stilbene and pentadienone on inhibition of tubulin polymerization.
36797602,The role of theragnostics in breast cancer: a systematic review of the last 12 years.
36797502,Reciprocal interactions between innate immune cells and astrocytes facilitate neuroinflammation and brain metastasis via lipocalin-2.
36797466,Defining the heterogeneity of unbalanced structural variation underlying breast cancer susceptibility by nanopore genome sequencing.
36797433,Overexpression of POU3F2 promotes radioresistance in triple-negative breast cancer via Akt pathway activation.
36797360,Translating transcriptomic findings from cancer model systems to humans through joint dimension reduction.
36797357,Clinical outcome and prognostic factors for Asian patients in Phase I clinical trials.
36797347,AKT/mTOR signaling modulates resistance to endocrine therapy and CDK4/6 inhibition in metastatic breast cancers.
36797245,Regulation of the tumor immune microenvironment by cancer-derived circular RNAs.
36797240,Polo-like kinase 4 (Plk4) potentiates anoikis-resistance of p53KO mammary epithelial cells by inducing a hybrid EMT phenotype.
36797222,Iodine-125 seed versus hook-wire guided breast conserving surgery: do post operative complication rates differ?
36797105,Psychosocial needs of older patients with metastatic breast cancer treated at community centers.
36796936,"Lessons from other fields of medicine, Part 1: Breast cancer."
36796822,[Renaissance of prepectoral implant-based breast reconstruction: theoretical basis and research status].
36796704,Propranolol reduces IFN-gamma driven PD-L1 immunosuppression and improves anti-tumour immunity in ovarian cancer.
36796670,PLA2G2A(+) cancer-associated fibroblasts mediate pancreatic cancer immune escape via impeding antitumor immune response of CD8(+) cytotoxic T cells.
36796556,Putative interactions between transthyretin and endosulfan II and its relevance in breast cancer.
36796499,A local strategy towards concurrent chemoradiotherapy based on fibrin gel for post-surgical cancer treatment.
36796498,Phase II Study of Preoperative Stereotactic Ablative Body Radiotherapy for Early-Stage Breast Cancer: Introduction of a Novel Form of Accelerated Partial Breast Radiotherapy.
36796341,Clinical impact of fine needle aspiration cytology on sentinel node biopsy after preoperative chemotherapy for core needle biopsy-proven metastatic lymph nodes.
36796115,The Negative Impact of the New Coronavirus Pandemic on the Trend of Breast Biopsies and Their Direct Costs: Interrupted Time Series Analysis.
36796040,Reverse Abdominoplasty for Mastectomy Defect Closure in Advanced Breast Cancer.
36795990,Access to Radiation Therapy and Related Clinical Outcomes in Patients With Cervical and Breast Cancer Across Sub-Saharan Africa: A Systematic Review.
36795989,Cancer-Related Stigma in Malawi: Narratives of Cancer Survivors.
36795958,Duplex Phenotype Detection and Targeting of Breast Cancer Cells Using Nanotube Nanoprobes and Raman Imaging.
36795771,Perceived Participation in Decision-Making on Primary Surgery and Associated Factors Among Early Breast Cancer Patients: A Cross-sectional Study.
36795754,lncRNA BREA2 promotes metastasis by disrupting the WWP2-mediated ubiquitination of Notch1.
36795733,Drivers of disparities in stage at diagnosis among women with breast cancer: South African breast cancers and HIV outcomes cohort.
36795663,Cancer detection for small-size and ambiguous tumors based on semantic FPN and transformer.
36795596,Breast Cancer Tumor Board: A Radiologist's Guide to Postmastectomy Radiation Therapy.
36795481,Coordinated activation of c-Src and FOXM1 drives tumor cell proliferation and breast cancer progression.
36795415,"Regulatory Approval, Reimbursement, and Clinical Use of Cyclin-Dependent Kinase 4/6 Inhibitors in Metastatic Breast Cancer in the Netherlands."
36795405,"Association of Social Determinants and Tumor Biology With Racial Disparity in Survival From Early-Stage, Hormone-Dependent Breast Cancer."
36795394,Worsening Rash in a Patient With Metastatic Breast Cancer.
36795375,Pertuzumab Charge Variant Analysis and Complementarity-Determining Region Stability Assessment to Deamidation.
36795296,Primary breast cancer diagnosed by 82-Rubidium myocardial perfusion PET-scan.
36795198,Nanomedicine in therapeutic warfront against estrogen receptor-positive breast cancer.
36795172,Patient reported improvement in sexual health outcomes following care in a sexual health clinic for women with cancer.
36795079,Correction to: TP53 Status as a Determinant of Pro- vs Anti-Tumorigenic Effects of Estrogen Receptor-Beta in Breast Cancer.
36795026,Association between Consumption of Artificial Sweeteners and Breast Cancer Risk: A Systematic Review and Meta-Analysis of Observational Studies.
36794921,"Medicaid expansion, chemotherapy delays, and racial disparities among women with early-stage breast cancer."
36794919,Historical Redlining and Breast Cancer Treatment and Survival among older Women in the US.
36794777,The Relationship Between Periodontal Disease and Breast Cancer: From Basic Mechanism to Clinical Management and Prevention.
36794698,Prognostic analysis of three forms of Ki-67 in patients with breast cancer with non-pathological complete response before and after neoadjuvant systemic treatment.
36794673,Monocyte chemoattractant protein 1 as a potential biomarker for immune checkpoint inhibitor-associated neurotoxicity.
36794651,Antitumor therapy for breast cancer: Focus on tumor-associated macrophages and nanosized drug delivery systems.
36794511,Optical coherence tomography for presurgical delineation of basal cell carcinomas on the face - a comparison with histopathology.
36794420,Microtubule Acetylation-Specific Inhibitors Induce Cell Death and Mitotic Arrest via JNK/AP-1 Activation in Triple-Negative Breast Cancer Cells.
36794324,Determinants of posttraumatic growth and quality of life in Ghanaian breast cancer survivors Cancer Investigation.
36794282,Recent advances in peptide-based therapeutic strategies for breast cancer treatment.
36794276,Adverse events of bevacizumab for triple negative breast cancer and HER-2 negative metastatic breast cancer: A meta-analysis.
36794183,A biodegradable covalent organic framework for synergistic tumor therapy.
36794014,"Seed-derived peptide lunasin suppressed breast cancer cell growth by regulating inflammatory mediators, aromatase, and estrogen receptors."
36793937,Establishment of a Lymph Node Metastasis-Associated Prognostic Signature for Lung Adenocarcinoma.
36793913,Oncological patient management on the territory: the results of a survey in the north-west of Italy.
36793869,Exploring neurotransmitters and their receptors for breast cancer prevention and treatment.
36793866,Dynamic SUMOylation of MORC2 orchestrates chromatin remodelling and DNA repair in response to DNA damage and drives chemoresistance in breast cancer.
36793731,SRA inhibition improves antitumor potency of antigen-targeted chaperone vaccine.
36793604,Locoregional treatment of de novo stage IV breast cancer in the era of modern oncology.
36793602,Review of the status of neoadjuvant therapy in HER2-positive breast cancer.
36793595,The efficacy and safety of epirubicin and cyclophosphamide combined with pyrotinib in neoadjuvant treatment for HER2-positive breast cancer: A real-world study.
36793581,Personalized Injury Reduction Strategies in Sports Medicine: Lessons Learned from Advances in Breast Cancer Treatment: A Clinical Commentary.
36793532,Long-term Health Risks of Cancer in Ukraine: Insights from the 2011 Fukushima Triple Disaster Experience.
36793527,Exploring Predictive Risk Factors of Infusion Reactions with First Pertuzumab Administration in HER2-positive Breast Cancer Patients: A Single Institution Experience.
36793444,Cancer-associated fibroblasts: The chief architect in the tumor microenvironment.
36793430,Inhibitors of Interleukin 4 Induced Protein 1 (IL4I1) as Potential Treatment for Cancer.
36793373,Suppression of GCH1 Sensitizes Ovarian Cancer and Breast Cancer to PARP Inhibitor.
36793346,Overexpression of PKMYT1 associated with poor prognosis and immune infiltration may serve as a target in triple-negative breast cancer.
36793316,"Predictors of surgical site infection following reconstructive flap surgery: A multi-institutional analysis of 37,177 patients."
36793223,Model-based prediction of effective target exposure for MEN1611 in combination with trastuzumab in HER2-positive advanced or metastatic breast cancer patients.
36793153,Streptococcus agalactiae pyomyositis in a patient with primary biliary cholangitis: A case report.
36793003,Prevalence and correlates of modifiable risk factors for cervical cancer and HPV infection among senior high school students in Ghana: a latent class analysis.
36792931,A systematic review and meta-analysis of psychosocial interventions for immigrant and limited English proficient cancer patients.
36792767,ASO Author Reflections: Sequencing of Breast Surgery and Chemotherapy Does Not Impact Patient-Reported Outcomes.
36792760,"Application value of circulating LncRNA in diagnosis, treatment, and prognosis of breast cancer."
36792720,Efficient breast cancer mammograms diagnosis using three deep neural networks and term variance.
36792691,Studying the connection between SF3B1 and four types of cancer by analyzing networks constructed based on published research.
36792625,Targeting mTOR to overcome resistance to hormone and CDK4/6 inhibitors in ER-positive breast cancer models.
36792620,Four-year follow-up on fatigue and sleep quality of a three-armed partly randomized controlled study in breast cancer survivors with cancer-related fatigue.
36792619,Cytotoxic and chemomodulatory effects of Phyllanthus niruri in MCF-7 and MCF-7(ADR) breast cancer cells.
36792543,Two-Dimensional Analysis Method for Highly Sensitive Detection of Dual MicroRNAs in Breast Cancer Cells.
36792458,Do Reader Characteristics Affect Diagnostic Efficacy in Screening Mammography? A Systematic Review.
36792457,Update on Accelerated Whole Breast Irradiation.
36792276,Transitioning From the Traditional Wire Localization to the Wireless Technology for Surgical Guidance at Lumpectomies: Part A. Radioseed Localization.
36792275,Audit of Prior Screening Mammograms of Screen-Detected Cancers: Implications for the Delay in Breast Cancer Detection.
36792274,The Current State of Timeliness in the Breast Cancer Diagnosis Journey: Abnormal Screening to Biopsy.
36792273,High-Risk Lesion Management.
36792272,"Mammographic Breast Density: Current Assessment Methods, Clinical Implications, and Future Directions."
36792271,Updates in Transgender Breast Imaging.
36792270,Artificial Intelligence in Breast X-Ray Imaging.
36792268,Savi-Scout Radar Localization: Transitioning From the Traditional Wire Localization to Wireless Technology for Surgical Guidance at Lumpectomies.
36792048,NIR-II Light Evokes DNA Cross-linking for Chemotherapy and Immunogenic Cell Death.
36792046,Tailoring biomimetic dual-redox-responsive nanoplexes for enhanced RNAi-synergized photodynamic cancer immunotherapy.
36791995,Targeted Tumor Killing by Pomegranate Polyphenols: Pro-oxidant Role of a Classical Antioxidant.
36791960,A Review of Biological Targets and Therapeutic Approaches in the Management of Triple-Negative Breast Cancer.
36791909,A remarkable complete response after applying chemoradiotherapy to treat a large ulcerative breast tumor.
36791848,Probabilistic risk assessment of residential exposure to metal(loid)s in a mining impacted community.
36791753,Factors Associated With False-Positive Recalls in Mammography Screening.
36791625,"In silico and biological activity evaluation of quercetin-boron hybrid compounds, anti-quorum sensing effect as alternative potential against microbial resistance."
36791603,Identification of a luminescent platinum(II) complex with BODIPY derivative as novel photodynamic therapy agent for triple negative breast cancer cells.
36791572,Multi-frequency shear modulus measurements discriminate tumorous from healthy tissues.
36791566,Near-infrared photoimmunotherapy (NIR-PIT) of bone metastases.
36791562,The role of hypoxia-inducible factors in breast cancer stem cell specification.
36791521,Amyloid fibril-based thixotropic hydrogels for modeling of tumor spheroids in vitro.
36791497,Dual kinase inhibitor for EGFR mutants and ErbB2 limit breast cancer.
36791357,Breast Cancer Prevention Misinformation on Pinterest: One Side of a Thick Coin.
36791335,Quantitative Characterization of Clinically Relevant Drug-Metabolizing Enzymes and Transporters in Rat Liver and Intestinal Segments for Applications in PBPK Modeling.
36791318,Clinical Features and Outcomes of Triple-Negative Breast Cancer Among Latin American Adolescents and Young Adults Compared to Middle-Aged and Elder Females: A Cohort Analysis Over 15 Years.
36791282,The liver kinase B1 supports mammary epithelial morphogenesis by inhibiting critical factors that mediate epithelial-mesenchymal transition.
36791216,Brain network deficits in breast cancer patients after early neoadjuvant chemotherapy: A longitudinal MRI study.
36791166,Overcoming Resistance - Omission of Radiotherapy for Low-Risk Breast Cancer.
36791159,Breast-Conserving Surgery with or without Irradiation in Early Breast Cancer.
36791099,The SET oncoprotein promotes estrogen-induced transcription by facilitating establishment of active chromatin.
36791022,Impact of multidisciplinary team meetings on the management of patients with breast cancer in a large private healthcare facility.
36790946,Protocol for the Pilot Study of Group Video Yogic Breathing App in Breast Cancer Survivors.
36790934,"Patients' perceived challenges, competencies, and supportive care needs during acute clinical treatment of breast or gynecological cancer."
36790882,Erythrocyte membrane-camouflaged Prussian blue nanocomplexes for combinational therapy of triple-negative breast cancer.
36790871,Computed Tomography-Based Radiomics Analysis for Prediction of Response to Neoadjuvant Chemotherapy in Breast Cancer Patients.
36790785,"""The Cost of Doing Business: An Appraisal of Relative Value Units in Plastic Surgery and Other Surgical Subspecialties""."
36790732,ASO Visual Abstract: Survival After Breast-Conserving Surgery Compared with that After Mastectomy in Breast Cancer Patients Receiving Neoadjuvant Chemotherapy.
36790676,"The prognostic value of DAAM2 in lower grade glioma, liver cancer, and breast cancer."
36790603,Cyclin-dependent kinase (CDK) 4/6 inhibition in non-small cell lung cancer with epidermal growth factor receptor (EGFR) mutations.
36790582,New antiproliferative 3-substituted oxindoles inhibiting EGFR/VEGFR-2 and tubulin polymerization.
36790573,Clinical and pathological characterization of 158 consecutive and unselected oligometastatic breast cancers in a single institution.
36790533,The PER3rs772027021 SNP induces pigmentation phenotypes of dyschromatosis universalis hereditaria.
36790512,mTOR pathway candidate genes and obesity interaction on breast cancer risk in black women from the Women's Circle of Health Study.
36790479,Stromal grading predicts pathologic complete response and prognosis in triple-negative breast cancer.
36790445,Effectiveness of a novel gene nanotherapy based on putrescine for cancer treatment.
36790360,Mass Nanotags Mediate Parallel Amplifications on Nanointerfaces for Multiplexed Profiling of RNAs.
36790346,Fine needle aspirational cytology of metastatic tumours to the thyroid.
36790286,T-type Ca2+ channels and their relationship with pre-neoplastic and neoplastic lesions in the human breast.
36790070,Seasonal effects on cancer incidence and prognosis.
36790026,Sexual well-being in patients with early-stage breast cancer at 1- and 2-year follow-up.
36789976,Potential of Lesion-to-Fat Elasticity Ratio Measured by Shear Wave Elastography to Reduce Benign Biopsies in BI-RADS 4 Breast Lesions.
36789894,Correction: Evaluation of the effects of newly synthesized metallophthalocyanines on breast cancer cell lines with photodynamic therapy.
36789830,Risk and incidence of breast cancer in transgender individuals: a systematic review and meta-analysis.
36789760,Stratifying the risk of ovarian cancer incidence by histologic subtypes in the Korean Epithelial Ovarian Cancer Study (Ko-EVE).
36789739,Variation in second breast cancer risk after primary invasive cancer by time since primary cancer diagnosis and estrogen receptor status.
36789689,"ZNF3 regulates proliferation, migration and invasion through MMP1 and TWIST in colorectal cancer."
36789554,Excellent response of refractory triple-negative breast cancer to sintilimab plus chemotherapy: a case report.
36789212,A proof-of-concept study of iCope: A nurse-led psychoeducational telephone intervention for women attending a rapid diagnostic centre for breast abnormality.
36789133,Prognostic Significance of Preoperative Lactate Dehydrogenase to Albumin Ratio in Breast Cancer: A Retrospective Study.
36789118,Proteome Analysis of Adult Acute Lymphoblastic Leukemia by Two-dimensional Blue Native/Sodium Dodecyl Sulfate Gel Electrophoresis.
36788982,"Cancer, diabetes, survival and glycemic control: a large multisite analysis."
36788889,Impact of KRAS Mutation on Survival Outcome of Patients With Metastatic Colorectal Cancer in Jordan.
36788687,Programmed Cell Death Protein 1 (PD-1) in relation to PANoptosis: Immune Pharmacological Targets for Management of Breast Adenocarcinoma.
36788683,Longitudinal Association between L1 Trabecular Attenuation from Chest Computed Tomography (CT) and Bone Mineral Density from Dualenergy X-ray Absorptiometry (DXA).
36788681,Review on Computer Aided Breast Cancer Detection and Diagnosis Using Machine Learning Methods on Mammogram Image.
36788602,"Ultra-low-coverage genome-wide association study-insights into gestational age using 17,844 embryo samples with preimplantation genetic testing."
36788595,Diagnostic accuracy of a three-protein signature in women with suspicious breast lesions: a multicenter prospective trial.
36788408,Recent Advancements in Gremlin-1: Breast cancer.
36788391,Comprehensive targeted treatment options available for Breast cancer stem cells; A literature review of the last 10 years' developments.
36788310,Establishment and characterization of the first patient-derived radiation-induced angiosarcoma xenograft model (RT-AS5).
36788297,Investigation of Shared Genetic Risk Factors Between Parkinson's Disease and Cancers.
36788122,How Well Does Non-mass Enhancement Correlate With DCIS/Invasive Cancer?
36788100,The Role of Artificial Intelligence in Accurate Interpretation of HER2 Immunohistochemical Scores 0 and 1+ in Breast Cancer.
36788098,Homologous Recombination Repair Deficiency: An Overview for Pathologists.
36788086,"HER2-Low Breast Cancer: Incidence, Clinicopathologic Features, and Survival Outcomes From Real-World Data of a Large Nationwide Cohort."
36788082,Diagnostic Accuracy of GATA6 Immunostaining in Sebaceous Tumors of the Skin.
36788081,p53 Expression in Luminal Breast Cancer Correlates With TP53 Mutation and Primary Endocrine Resistance.
36788078,Early Triple-Negative Breast Cancers in a Singapore Cohort Exhibit High PIK3CA Mutation Rates Associated With Low PD-L1 Expression.
36788075,Lack of Standardization in the Diagnosis of Invasive Lobular Carcinoma of the Breast.
36788073,Identifying SOX17 as a Sensitive and Specific Marker for Ovarian and Endometrial Carcinomas.
36788069,Multi-institutional Assessment of Pathologist Scoring HER2 Immunohistochemistry.
36788064,Interobserver Variation in the Assessment of Immunohistochemistry Expression Levels in HER2-Negative Breast Cancer: Can We Improve the Identification of Low Levels of HER2 Expression by Adjusting the Criteria? An International Interobserver Study.
36787951,Serum concentrations of local anesthetics after unilateral interpectoral-pectoserratus plane block in breast cancer surgery: a pharmacokinetic study.
36787933,Electrochemotherapy with intravenous bleomycin for heavily pre-treated vulvar cancer patients.
36787921,Risks of mortality and severe coronavirus disease 19 (COVID-19) outcomes in patients with or without systemic lupus erythematosus.
36787863,E2F1-mediated ectopic expression of PP1A promotes breast cancer progression via activation of YAP1.
36787754,False-Positive Nodes With Axillary Silicone Lymphadenopathy in an Oncologic Patient With a Rare Breast Cancer and Implant Rupture.
36787669,HCTNet: A hybrid CNN-transformer network for breast ultrasound image segmentation.
36787617,Prognostic value of KI-67 proliferation index in luminal breast cancers.
36787613,Analisis del coste directo de la atencion medica y quirurgica del cancer de mama. Estudio comparativo entre etapas temprana y tardia en tercer nivel de atencion.
36787512,Improving Uptake of Cancer Genetic Risk Assessment in a Remote Tailored Risk Communication and Navigation Intervention: Large Effect Size but Room to Grow.
36787508,Molecular-Guided Off-Label Targeted Therapy in a Large-Scale Precision Oncology Program.
36787483,Impact of Acupuncture on Hot Flashes in Breast Cancer Patients Receiving Adjuvant Antiestrogen Therapy with Tamoxifen: A Randomized Controlled Trial.
36787427,Self-Generation of Distinguishable Fluorescent Probes via a One-Pot Process for Multiple MicroRNA Detection by Liquid Chromatography.
36787313,"Emotional, inflammatory, and genetic factors of resilience and vulnerability to depression in patients with premenopausal breast cancer: A longitudinal study protocol."
36787126,Understanding the role of access in Hispanic cancer screening disparities.
36787085,Integrative analyses of RNA-seq and ChIP-seq Reveal MITF as a Target Gene of TFPI-2 in MDA231 Cells.
36786996,Synergistic Effect of the Combined Action of Targeted and Photodynamic Therapy on HER2-Positive Breast Cancer.
36786946,Effects of preoperative magnetic resonance image on survival rates and surgical planning in breast cancer conservative surgery: randomized controlled trial (BREAST-MRI trial).
36786856,Communication between mothers with breast cancer and minor children: a qualitative systematic review and meta-synthesis.
36786674,Beyond Antiresorptive Activity: Risedronate-Based Coordination Complexes To Potentially Treat Osteolytic Metastases.
36786671,Dosimetric evaluation of the benefit of deep inspiration breath hold (DIBH) for locoregional irradiation of right breast cancer with volumetric modulated arctherapy (VMAT).
36786551,"Design, Synthesis, and Biological Activity of Marinacarboline Analogues as STAT3 Pathway Inhibitors for Docetaxel-Resistant Triple-Negative Breast Cancer."
36786527,MED27 plays a tumor-promoting role in breast cancer progression by targeting KLF4.
36786279,Sacituzumab govitecan expands its therapeutic spectrum among breast cancer subtypes.
36786196,Light Pareto robust optimization for IMRT treatment planning.
36786171,"Cancer referrals at African Inland Church Kijabe Hospital, Kiambu County (2014-2020) and the impact of COVID-19."
36785738,YB-1 Expression Is Associated with Lymph Node Metastasis and Drug Resistance to Adriamycin in Breast Cancer.
36785715,Association of Enolase-1 with Prognosis and Immune Infiltration in Breast Cancer by Clinical Stage.
36785707,A novel gene signature related to oxidative stress predicts the prognosis in clear cell renal cell carcinoma.
36785645,"The Practice and Willingness of Women Towards Opportunistic Screening for Breast and Cervical Cancers in Sichuan Province, China: A Cross-Sectional Study."
36785571,Ultralow Limit Detection of Soluble HER2 Biomarker in Serum with a Fiber-Optic Ball-Tip Resonator Assisted by a Tilted FBG.
36785489,"Mainstream genetic testing for high-grade ovarian, tubal and peritoneal cancers: A tertiary referral centre experience."
36782375,The activation of EP300 by F11R leads to EMT and acts as a prognostic factor in triple-negative breast cancers.
36782310,Biodegradable functionalized magnetite nanoparticles as binary-targeting carrier for breast carcinoma.
36782225,Role of breast cancer screening in the overdiagnosis of thyroid cancer: results from a cross-sectional nationwide survey.
36782224,DNA methylation in peripheral blood leukocytes for the association with glucose metabolism and invasive breast cancer.
36782197,LINC00478-derived novel cytoplasmic lncRNA LacRNA stabilizes PHB2 and suppresses breast cancer metastasis via repressing MYC targets.
36782134,Colorectal cancer survivors' long-term recollections of their illness and therapy up to seven years after enrolment into a randomised controlled clinical trial.
36782089,Phosphorylation of USP29 by CDK1 Governs TWIST1 Stability and Oncogenic Functions.
36781911,The association between shift work and the incidence of reflux esophagitis in Korea: a cohort study.
36781892,Ki67 increase after core needle biopsy associated with worse disease outcome in HER2-negative breast cancer patients.
36781869,Immunotherapy in breast cancer: an overview of current strategies and perspectives.
36781846,VPA mediates bidirectional regulation of cell cycle progression through the PPP2R2A-Chk1 signaling axis in response to HU.
36781812,Urban-Rural Disparity in Birth Cohort Effects on Breast Cancer Incidence.
36781808,Contrast-enhanced mammography (CEM) versus MRI for breast cancer staging: detection of additional malignant lesions not seen on conventional imaging.
36781754,Magnetic Thermosensitive Liposomes Loaded with Doxorubicin.
36781707,Effects of trastuzumab and trastuzumab emtansine on corrected QT interval and left ventricular ejection fraction in patients with metastatic (HER2+) breast cancer.
36781543,Receptive music therapy versus group music therapy with breast cancer patients hospitalized for surgery.
36781520,Neighborhood and racial influences on triple negative breast cancer: evidence from Northeast Ohio.
36781519,Comparison of goserelin and leuprorelin for ovarian protection during chemotherapy in young patients with breast cancer.
